,Name,twi_handle,Party
561,Martin Docherty-Hughes,@martinjdocherty,Scottish National
562,Martyn Day,@MartynDaySNP,Scottish National
563,Mhairi Black,@MhairiBlack,Scottish National
564,Neil Gray,@NeilGrayMP,Scottish National
565,Patricia Gibson,@PGibsonSNP,Scottish National
566,Patrick Grady,@GradySNP,Scottish National
567,Pete Wishart,@PeteWishart,Scottish National
568,Peter Grant,@PeterGrantMP,Scottish National
569,Ronnie Cowan,@ronniecowan,Scottish National
570,Stephen Gethins,@StephenGethins,Scottish National
571,Stewart Hosie,@StewartHosieSNP,Scottish National
572,Stewart Malcolm McDonald,@StewartMcDonald,Scottish National
573,Stuart C. McDonald,@Stuart_McDonald,Scottish National
574,Tommy Sheppard,@TommySheppard,Scottish National
575,Christopher Hazzard,@ChrisHazzardSF,Sinn Féin
576,Elisha McCallion,@ElishaMcC_SF,Social Democratic and Labour
577,Francie Molloy,@FrancieMolloy,Sinn Féin
578,Michelle Gildernew,@gildernewm,Ulster Unionist
579,Mickey Brady,@MickeyBradySF,Sinn Féin
580,Órfhlaith Begley,@OrfhlaithBegley,Sinn Féin
581,Paul Maskey,@PaulMaskeyMP,Sinn Féin
582,Ann Coffey,@anncoffey_mp,Labour
583,Anna Soubry,@Anna_Soubry,Conservative
584,Chris Leslie,@ChrisLeslieMP,Others
585,Joan Ryan,@joanryanEnfield,Labour
586,Mike Gapes,@MikeGapes,Labour Co-operative
